State,District,Year,Living_Quarters_Count,Living_Quarters_Loss,Vehicles,Business_Premises,Manufacturing,Total_Loss,Loss_per_1000_Living_Quarters
Sabah,Tenom,2024,10917.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Tenom,2025,10917.0,487.29,16.506,64.59,0.0,568.3860000000001,52.06430338004947
Sabah,Nabawan,2024,5310.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Nabawan,2025,5310.0,357.018,30.312,48.778,0.0,436.108,82.12956685499059
Sabah,Keningau,2024,34540.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Keningau,2025,34540.0,11868.794,341.0199,524.9276,0.0,12734.7415,368.6954690214244
Sabah,Tambunan,2024,7215.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Tambunan,2025,7215.0,2.692,0.0,0.0,0.0,2.692,0.37311157311157317
Sabah,Kunak,2024,11885.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Kunak,2025,11885.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Tongod,2024,10380.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Tongod,2025,10380.0,49.03,1.678,13.944,0.0,64.652,6.228516377649326
Sabah,Putatan,2024,15870.0,25.625,0.0,0.0,0.0,25.625,1.6146817895400125
Sabah,Putatan,2025,15870.0,43.303,0.8,2.25,0.0,46.352999999999994,2.9207939508506615
Sabah,Telupid,2024,7827.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Telupid,2025,7827.0,240.425,15.909,15.02,0.0,271.354,34.66896639836464
Sabah,Kalabakan,2024,12024.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabah,Kalabakan,2025,12024.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Kuching,2024,142732.0,1540.072380952381,4.5,168.0,0.0,1712.572380952381,11.99851736788093
Sarawak,Kuching,2025,142732.0,825.475,14.4,28.794,0.0,868.669,6.086014348569347
Sarawak,Bau,2024,11279.0,20.7,0.6,0.0,0.0,21.3,1.8884652894760174
Sarawak,Bau,2025,11279.0,5.1,0.0,0.0,0.0,5.1,0.45216774536749704
Sarawak,Lundu,2024,8791.0,255.825,18.925,0.0,0.0,274.75,31.25355477192583
Sarawak,Lundu,2025,8791.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Samarahan4,2024,37080.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Samarahan4,2025,37080.0,827.03,15.4,4.15,0.0,846.5799999999999,22.8311758360302
Sarawak,Serian5,2024,21663.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Serian5,2025,21663.0,4334.588,113.999,286.325,0.0,4734.911999999999,218.57138900429302
